uid,model,hf,family,dev,year,drop_step,drop_reason,drop_source,deploy,deploy_source,serve,serve_source,f_dup,f_suite,f_repl,f_moe,f_distilled,f_multimodal,f_instruct_only,f_nontransformer,f_D_undoc,f_m3_distilled,f_synthetic
B:deepseek-ai/DeepSeek-V3-Base,DeepSeek-V3-Base,deepseek-ai/DeepSeek-V3-Base,DeepSeek-V3,DeepSeek,2024,c_moe,MoE: 37.0B active / 684.5B total,m3 (card),server/unspecified,card: no on-device or local statement found,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,False,False,False,True,False,False,False,False,False,False,False
B:moonshotai/Kimi-K2-Base,Kimi-K2-Base,moonshotai/Kimi-K2-Base,Kimi-K2,Moonshot,2025,c_moe,MoE: 32.0B active / 1026.5B total,m3 (card),server/unspecified,card: no on-device or local statement found,1,Kimi API platform,False,False,False,True,False,False,False,False,False,False,False
B:zai-org/GLM-4.5-Base,GLM-4.5-Base,zai-org/GLM-4.5-Base,GLM-4.5,Zhipu,2025,c_moe,MoE: 32.0B active / 358.3B total,m3 (card),server/unspecified,card: no on-device or local statement found,1,BigModel / Z.ai API,False,False,False,True,False,False,False,False,False,False,False
B:tiiuae/Falcon3-7B-Base,Falcon3-7B-Base,tiiuae/Falcon3-7B-Base,Falcon3,TII,2024,,,,server/unspecified,card: no on-device or local statement found,0,no first-party commercial LLM API (Falcon served by third parties),False,False,False,False,False,False,False,False,False,False,False
B:tiiuae/falcon-11B,falcon-11B,tiiuae/falcon-11B,Falcon2,TII,2024,,,,server/unspecified,card: no on-device or local statement found,0,no first-party commercial LLM API (Falcon served by third parties),False,False,False,False,False,False,False,False,False,False,False
B:ibm-granite/granite-3.0-2b-base,granite-3.0-2b-base,ibm-granite/granite-3.0-2b-base,Granite-3.0,IBM,2024,,,,server/unspecified,card: no on-device or local statement found,1,watsonx.ai (GA Jul 2023) serves Granite,False,False,False,False,False,False,False,False,False,False,False
B:ibm-granite/granite-3.0-8b-base,granite-3.0-8b-base,ibm-granite/granite-3.0-8b-base,Granite-3.0,IBM,2024,,,,server/unspecified,card: no on-device or local statement found,1,watsonx.ai (GA Jul 2023) serves Granite,False,False,False,False,False,False,False,False,False,False,False
B:swiss-ai/Apertus-8B-2509,Apertus-8B-2509,swiss-ai/Apertus-8B-2509,Apertus,Swiss AI,2025,,,,server/unspecified,card: no on-device or local statement found,0,public research consortium (ETH/EPFL/CSCS); hosting by third parties,False,False,False,False,False,False,False,False,False,False,False
B:swiss-ai/Apertus-70B-2509,Apertus-70B-2509,swiss-ai/Apertus-70B-2509,Apertus,Swiss AI,2025,,,,server/unspecified,card: no on-device or local statement found,0,public research consortium (ETH/EPFL/CSCS); hosting by third parties,False,False,False,False,False,False,False,False,False,False,False
B:marin-community/marin-8b-base,marin-8b-base,marin-community/marin-8b-base,Marin,Marin,2025,,,,server/unspecified,card: no on-device or local statement found,0,open research lab (Stanford CRFM),False,False,False,False,False,False,False,False,False,False,False
B:apple/DCLM-7B,DCLM-7B,apple/DCLM-7B,DCLM,Apple,2024,b2_replication,DCLM-7B: dataset-benchmark model trained for 2.5T tokens to evaluate DCLM-Baseline (hf.co/apple/DCLM-7B),model card,server/unspecified,card: no on-device or local statement found,0,on-device products; DCLM is a research artifact,False,False,True,False,False,False,False,False,False,False,False
B:m-a-p/neo_7b,neo_7b,m-a-p/neo_7b,MAP-Neo,M-A-P,2024,,,,server/unspecified,card: no on-device or local statement found,0,open research community,False,False,False,False,False,False,False,False,False,False,False
B:LLM360/K2,K2,LLM360/K2,LLM360-K2,LLM360,2024,b2_replication,LLM360 K2: LLaMA-65B-scale replication at 1.4T tokens (hf.co/LLM360/K2 card),model card,server/unspecified,card: no on-device or local statement found,0,research release,False,False,True,False,False,False,False,False,False,False,False
B:stabilityai/stablelm-3b-4e1t,stablelm-3b-4e1t,stabilityai/stablelm-3b-4e1t,StableLM-3B-4E1T,Stability AI,2023,,,,server/unspecified,card: no on-device or local statement found,0,LLM releases not offered as a first-party commercial API (API business: image models),False,False,False,False,False,False,False,False,False,False,False
